Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
simple case,Chrome 112.0.0.0,,,2023-05-11 16:31:54,2023-05-11 16:33:16,1m - 21.642s,PASSED
,,,,,,,
Test Cases/test-flow-1-buy-1-product,Chrome 112.0.0.0,,,2023-05-11 16:31:54,2023-05-11 16:33:16,1m - 21.438s,PASSED
"openBrowser(""https://nguyen-tri-nhan.github.io/"")",Chrome 112.0.0.0,,,2023-05-11 16:31:54,2023-05-11 16:32:00,6.145s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 112.0.0.0,,,2023-05-11 16:32:00,2023-05-11 16:32:01,0.421s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 112.0.0.0,,,2023-05-11 16:32:01,2023-05-11 16:32:02,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""))",Chrome 112.0.0.0,,,2023-05-11 16:32:02,2023-05-11 16:32:02,0.479s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""secret_sauce"")",Chrome 112.0.0.0,,,2023-05-11 16:32:02,2023-05-11 16:32:04,1.746s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-05-11 16:32:04,2023-05-11 16:32:04,0.523s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-11 16:32:04,2023-05-11 16:32:06,2.028s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/Backpack""))",Chrome 112.0.0.0,,,2023-05-11 16:32:06,2023-05-11 16:32:07,0.391s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/button_Add to cart""))",Chrome 112.0.0.0,,,2023-05-11 16:32:07,2023-05-11 16:32:08,1.046s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/products_back-image""))",Chrome 112.0.0.0,,,2023-05-11 16:32:08,2023-05-11 16:32:09,1.472s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-11 16:32:09,2023-05-11 16:32:11,2.018s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/cart""))",Chrome 112.0.0.0,,,2023-05-11 16:32:11,2023-05-11 16:32:12,0.367s,PASSED
"click(findTestObject(""Object Repository/CheckoutPage/button_Checkout""))",Chrome 112.0.0.0,,,2023-05-11 16:32:12,2023-05-11 16:32:13,1.125s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-11 16:32:13,2023-05-11 16:32:15,2.015s,PASSED
"setText(findTestObject(""Object Repository/checkout-step-one/input_Checkout Your Information_firstName""), ""demo"")",Chrome 112.0.0.0,,,2023-05-11 16:32:15,2023-05-11 16:32:15,0.690s,PASSED
"setText(findTestObject(""Object Repository/checkout-step-one/input_Checkout Your Information_lastName""), ""qa test"")",Chrome 112.0.0.0,,,2023-05-11 16:32:15,2023-05-11 16:32:17,1.471s,PASSED
"setText(findTestObject(""Object Repository/checkout-step-one/input_Checkout Your Information_postalCode""), ""9000"")",Chrome 112.0.0.0,,,2023-05-11 16:32:17,2023-05-11 16:32:28,11.507s,PASSED
"click(findTestObject(""Object Repository/checkout-step-one/input_continue""))",Chrome 112.0.0.0,,,2023-05-11 16:32:28,2023-05-11 16:32:40,11.070s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-11 16:32:40,2023-05-11 16:32:42,2.014s,PASSED
"click(findTestObject(""Object Repository/finish checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-05-11 16:32:42,2023-05-11 16:32:42,0.355s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/order-success/h2_Thank you for your order""))",Chrome 112.0.0.0,,,2023-05-11 16:32:42,2023-05-11 16:32:43,1.018s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-11 16:32:43,2023-05-11 16:32:45,2.003s,PASSED
"click(findTestObject(""Object Repository/NavSideBar/sidebar""))",Chrome 112.0.0.0,,,2023-05-11 16:32:45,2023-05-11 16:32:45,0.374s,PASSED
"click(findTestObject(""Object Repository/NavSideBar/a_Logout""))",Chrome 112.0.0.0,,,2023-05-11 16:32:45,2023-05-11 16:32:47,1.788s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-11 16:32:47,2023-05-11 16:32:49,2.007s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 112.0.0.0,,,2023-05-11 16:32:49,2023-05-11 16:32:49,0.370s,PASSED
delay(20),Chrome 112.0.0.0,,,2023-05-11 16:32:49,2023-05-11 16:33:09,20.015s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 112.0.0.0,,,2023-05-11 16:33:09,2023-05-11 16:33:10,0.387s,PASSED
delay(5),Chrome 112.0.0.0,,,2023-05-11 16:33:10,2023-05-11 16:33:15,5.004s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-05-11 16:33:15,2023-05-11 16:33:16,0.753s,PASSED
